Volcano Number,Volcano Name,Region,Estimate method,Recorded small eruptions,Recorded large eruptions,Recorded unknown eruptions,Jenkins classification,Whelley classification,Probability of eruption 5th percentile,Probability of eruption 50th percentile,Probability of eruption 95th percentile,<= VEI 3 5th percentile,<= VEI 3 50th percentile,<= VEI 3 95th percentile,VEI 4 5th percentile,VEI 4 50th percentile,VEI 4 95th percentile,VEI 5 5th percentile,VEI 5 50th percentile,VEI 5 95th percentile,VEI 6 5th percentile,VEI 6 50th percentile,VEI 6 95th percentile,VEI 7 5th percentile,VEI 7 50th percentile,VEI 7 95th percentile
263251,Muria,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.44239143514561e-05,0.002061573747629111,0.01191950983818836,5.785863793335454e-05,0.0018622262388547175,0.010785685409009059,4.5260684474516695e-06,0.00013778929835167982,0.0007840465388803469,1.6996615715813522e-06,5.050250479536535e-05,0.0002844507642327016,3.0650566382635814e-07,1.0004261583930451e-05,5.825753066395675e-05,3.304073524217058e-08,1.051444043418237e-06,7.0695954022976085e-06
271070,Musuan,Philippines and SE Asia,Bayesian update,1,0,0,Lava dome,Semi-plugged stratocone,0.001018324486525813,0.005234950382479586,0.01164163539509018,0.0007902212516988429,0.002918760797812705,0.004987260133876575,0.00010851055706432738,0.0011143034436243396,0.0031064338849691123,8.701017125178517e-05,0.0008482371355204004,0.002457507739829519,2.381752142601416e-05,0.00025683984800247935,0.0007971132412949354,8.764985084843334e-06,9.680915751966107e-05,0.0002933203951200393
260001,Narcondum,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.691431672972113e-05,0.0020970437572904615,0.011853831889846077,6.0655064192582376e-05,0.00190304217893382,0.010739093955996187,4.393765207634944e-06,0.00013267663736956503,0.0007667142249777411,1.5605221528706565e-06,5.0320947096181347e-05,0.000281741800944681,2.731022948551671e-07,9.964421538191157e-06,5.927275657562415e-05,3.18628817779963e-08,1.0395723527044356e-06,7.00915135184458e-06
273082,Natib,Philippines and SE Asia,Analogue,0,0,0,Large cone,Large caldera,6.328756687900148e-05,0.0020773294119353393,0.012045203039167153,5.714538092736532e-05,0.0018809824519317622,0.01090833781565227,4.185986628977337e-06,0.00013663883225616206,0.0007828561874425354,1.6209445707582073e-06,4.911912424028823e-05,0.000287704408212367,3.0957002102171703e-07,9.538728065755117e-06,5.9187757846340655e-05,2.5684730878903963e-08,1.0502754413712567e-06,7.1168700136409345e-06
265060,Nila,Indonesia,Bayesian update,4,0,0,Large cone,Semi-plugged stratocone,0.01007758012603542,0.016199349214671466,0.02476190645734249,0.009783542449862315,0.013297503015393604,0.016828803602485138,0.00017390679799182473,0.0016668919060660262,0.004405679457314106,7.200539598501541e-05,0.0007269507693613768,0.002046156860054844,3.2905761378713234e-05,0.0003386180498558197,0.000975209047536084,1.5219720817552383e-05,0.00016938547399464007,0.0005060574899523191
264150,Paluweh,Indonesia,Bayesian update,8,0,0,Large cone,Semi-plugged stratocone,0.02261832893791291,0.032197361096818575,0.044761291501777656,0.022067089445804294,0.027406738028242096,0.03265560799950785,0.00035270902370661364,0.0029514782091276653,0.007089352438422922,0.00013358434268779095,0.0011709628878328084,0.003154117840915487,5.086480827481236e-05,0.0005201808986520214,0.0014342367811997906,1.4081317439401465e-05,0.00014800107296397756,0.00042797644173160664
263100,Papandayan,Indonesia,Bayesian update,4,0,0,Large cone,Semi-plugged stratocone,0.01026019318973791,0.01625678406734304,0.02465811686973048,0.009966283074600953,0.013377957162152624,0.016863356781968118,0.00016848814531403547,0.001620577964696677,0.004181259437382539,8.50972323405971e-05,0.0008311392513796016,0.002376942984191842,2.928821066988414e-05,0.00030727953589440484,0.0008892375617048527,1.1036526812440187e-05,0.00011983015321973396,0.00034732010448312525
271011,Parker,Philippines and SE Asia,Bayesian update,0,2,0,Large cone,Well-plugged stratocone,0.0012609756046239899,0.002896270028429043,0.005792935236802386,0.001189629964571636,0.0021743767575742616,0.00355677925413671,3.724012820647731e-05,0.00035794978907492366,0.0010943594864405953,2.2826048251411023e-05,0.00024464515204908604,0.0007631390856831534,8.499627354248999e-06,8.992458096940671e-05,0.00028314670994808287,2.77983624021655e-06,2.9373748761365117e-05,9.551070059384405e-05
261231,Patah,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.347025091518175e-05,0.0020870659538434694,0.011476349176125613,5.668052031731601e-05,0.0018868264213625933,0.01035150403012644,4.659787626076567e-06,0.0001375272478209792,0.0007723408622632265,1.7263475121642436e-06,5.122869347078196e-05,0.00028560378537515147,3.736036046308872e-07,1.0437602477396816e-05,5.9805148032543865e-05,2.999185499405365e-08,1.0459887117177173e-06,7.095350328250597e-06
273087,Patoc,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.874458388764603e-05,0.0020877227074635536,0.011714320664416657,6.228032109217488e-05,0.001887986864281548,0.010572285924794882,4.269090369739465e-06,0.00013861543253650176,0.000793511539948452,1.845353258118064e-06,5.003594562565195e-05,0.0002829107685334878,3.19149572582084e-07,1.0008535078915146e-05,5.8611169013771415e-05,3.066959503152811e-08,1.0759299409362297e-06,7.001262126063051e-06
